,NAME,ROUNDS,DRIVE_DISTANCE,PAR OR BETTER,MISSED GIR,US_OPEN_TOP_10,TOP 10,1ST,SCORING1,SCORING2,SCORING3,SCORING4,SCORING5,FWY_%1,FWY_%2,FWY_%3,FWY_%4,FWY_%5,GIR_%1,GIR_%2,GIR_%3,GIR_%4,GIR_%5,SG_P1,SG_P2,SG_P3,SG_P4,SG_P5,SG_TTG1,SG_TTG2,SG_TTG3,SG_TTG4,SG_TTG5,SG_T1,SG_T2,SG_T3,SG_T4,SG_T5,SCRAMBLING_P1,SCRAMBLING_P2,SCRAMBLING_P3,SCRAMBLING_P4,SCRAMBLING_P5
0,Aaron Baddeley,293,1165.8999999999999,1163,1852,10,11,1.0,70.888,71.483,70.85,70.783,,55.42,52.25,53.27,57.74,,63.11,62.57,63.39,63.33,,0.586,0.044,-0.057,0.654,,-0.33,-0.216,0.366,-0.34,,0.257,-0.172,0.309,0.313,,64.3,59.9,61.09,65.84,
1,Aaron Wise,162,605.5,481,884,3,5,1.0,70.247,70.739,,,,63.33,61.75,,,,68.81,68.6,,,,0.238,-0.146,,,,0.464,0.475,,,,0.703,0.329,,,,56.28,52.05,,,
2,Abraham Ancer,191,589.4000000000001,689,1105,4,9,0.0,70.659,70.58,,,,63.64,70.21,,,,66.49,66.79,,,,-0.056,-0.065,,,,0.376,0.58,,,,0.32,0.515,,,,62.69,61.98,,,
3,Adam Hadwin,369,1162.0,1294,2175,12,15,1.0,70.719,70.583,70.75,70.545,,63.62,63.2,65.6,67.77,,66.07,65.08,68.04,67.55,,0.53,0.409,0.106,0.252,,-0.011,0.143,0.49,0.091,,0.519,0.551,0.596,0.343,,58.27,62.82,58.59,57.62,
4,Adam Long,76,292.0,279,475,2,2,1.0,71.464,,,,,66.51,,,,,65.28,,,,,-0.369,,,,,-0.049,,,,,-0.418,,,,,58.74,,,,
5,Adam Schenk,188,606.3,595,1027,3,4,0.0,71.37,70.817,,,,57.67,61.27,,,,67.92,68.61,,,,0.13,0.341,,,,-0.28,0.146,,,,-0.15,0.487,,,,54.55,60.71,,,
6,Adam Scott,278,1215.5,869,1497,15,25,2.0,69.47,69.996,70.42,69.693,,55.55,56.65,62.51,59.91,,70.76,67.05,70.66,68.94,,-0.168,-0.097,-0.285,0.348,,2.062,1.103,1.064,1.483,,1.894,1.006,0.779,1.831,,59.5,58.43,54.85,59.82,
7,Alex Cejka,148,568.2,539,836,5,6,0.0,70.675,70.675,,,,65.89,66.49,,,,67.99,63.77,,,,0.01,0.009,,,,0.631,0.302,,,,0.642,0.312,,,,65.03,64.0,,,
8,Alex Noren,67,299.2,234,379,3,3,0.0,69.973,,,,,61.73,,,,,64.91,,,,,0.758,,,,,0.286,,,,,1.044,,,,,61.74,,,,
9,Anders Albertson,68,293.2,232,372,1,1,0.0,71.772,,,,,60.11,,,,,67.71,,,,,-0.307,,,,,-0.213,,,,,-0.52,,,,,62.37,,,,
10,Andrew Landry,82,291.1,282,495,4,5,1.0,71.059,,,,,62.92,,,,,65.63,,,,,-0.01,,,,,-0.029,,,,,-0.039,,,,,56.97,,,,
11,Andrew Loupe,130,620.6,450,870,5,5,0.0,71.423,72.803,,,,45.56,45.93,,,,63.41,59.83,,,,0.28,-0.242,,,,-0.395,-1.175,,,,-0.115,-1.416,,,,52.83,50.27,,,
12,Andrew Putnam,178,575.3,567,939,6,8,1.0,70.579,70.644,,,,60.42,60.64,,,,70.47,65.94,,,,0.052,0.7,,,,0.42,-0.164,,,,0.472,0.536,,,,61.52,59.23,,,
13,Anirban Lahiri,299,1172.9,1099,1916,6,9,0.0,71.139,70.799,70.66,71.698,,56.31,59.82,60.09,60.08,,62.88,63.43,64.7,62.96,,-0.02,-0.336,0.199,0.116,,0.088,0.149,-0.095,-0.869,,0.068,-0.186,0.104,-0.752,,56.4,55.06,58.35,59.57,
14,Austin Cook,175,583.3,625,1040,3,5,1.0,70.469,71.201,,,,66.76,70.26,,,,66.51,65.71,,,,0.315,-0.088,,,,0.254,-0.232,,,,0.569,-0.319,,,,62.02,56.96,,,
15,Beau Hossler,104,300.0,360,600,3,5,0.0,70.574,,,,,60.47,,,,,67.95,,,,,0.685,,,,,-0.101,,,,,0.584,,,,,60.0,,,,
16,Ben Crane,151,559.6,523,861,2,2,0.0,71.091,71.097,,,,67.97,67.52,,,,65.68,64.88,,,,-0.155,0.332,,,,-0.068,-0.157,,,,-0.223,0.176,,,,59.02,63.0,,,
17,Ben Martin,64,289.6,244,415,1,1,0.0,70.974,,,,,63.52,,,,,63.98,,,,,0.118,,,,,-0.119,,,,,-0.001,,,,,58.8,,,,
18,Ben Silverman,90,290.2,304,530,2,2,0.0,71.281,,,,,65.56,,,,,64.95,,,,,0.238,,,,,-0.444,,,,,-0.206,,,,,57.36,,,,
19,Bill Haas,331,1170.3,1174,1884,9,13,0.0,70.444,70.011,71.028,71.056,,62.34,59.27,57.27,61.33,,67.14,67.91,64.79,64.65,,-0.174,0.055,-0.059,0.055,,0.693,0.868,0.139,0.098,,0.519,0.923,0.079,0.153,,63.3,63.75,60.34,61.73,
20,Billy Horschel,346,1180.3,1063,1857,11,19,2.0,70.548,70.832,70.154,70.644,,60.71,60.07,67.8,64.71,,67.7,67.89,71.75,67.63,,0.112,0.084,0.392,0.522,,0.717,-0.08,0.72,0.307,,0.829,0.004,1.112,0.829,,54.55,54.33,58.03,61.38,
21,Billy Hurley III,80,276.9,308,524,1,1,0.0,71.176,,,,,60.57,,,,,63.61,,,,,0.374,,,,,-0.263,,,,,0.11,,,,,58.78,,,,
22,Blayne Barber,161,580.8,507,893,2,2,0.0,71.032,71.163,,,,62.37,61.62,,,,66.74,67.61,,,,0.01,0.402,,,,0.088,-0.389,,,,0.099,0.013,,,,57.62,55.8,,,
23,Boo Weekley,83,291.5,280,480,2,2,0.0,71.0,,,,,66.98,,,,,67.87,,,,,-0.225,,,,,0.307,,,,,0.082,,,,,58.33,,,,
24,Branden Grace,276,1181.6,894,1534,9,12,1.0,70.204,70.862,70.412,71.421,,55.14,58.47,63.49,57.22,,66.76,66.4,67.1,66.09,,-0.105,-0.248,0.35,-0.52,,0.96,0.518,0.463,0.413,,0.855,0.271,0.812,-0.107,,59.05,61.42,57.78,55.18,
25,Brandon Harkins,192,607.4000000000001,584,1070,3,4,0.0,70.721,71.519,,,,54.79,56.96,,,,65.67,67.67,,,,0.225,-0.481,,,,0.05,0.092,,,,0.275,-0.389,,,,55.88,53.0,,,
26,Brandt Snedeker,332,1154.5,1236,1987,13,21,2.0,70.203,70.055,70.379,70.52,,58.69,63.58,62.79,63.25,,65.67,67.11,65.04,64.93,,0.395,0.572,0.478,0.592,,0.573,0.506,0.147,0.37,,0.968,1.079,0.625,0.962,,62.73,63.18,60.08,63.04,
27,Brendan Steele,251,912.8999999999999,746,1339,8,9,2.0,70.855,70.503,71.021,,,60.29,62.88,60.47,,,68.72,67.26,69.24,,,-0.287,-0.013,-0.576,,,0.542,0.888,0.604,,,0.255,0.875,0.029,,,54.76,58.99,52.56,,
28,Brett Stegmaier,87,295.3,296,508,2,3,0.0,70.995,,,,,60.93,,,,,66.8,,,,,-0.061,,,,,0.109,,,,,0.048,,,,,58.27,,,,
29,Brian Gay,278,836.4999999999999,1079,1728,7,11,0.0,70.585,70.28,71.356,,,65.47,71.37,70.19,,,63.53,64.52,64.36,,,0.451,0.442,0.335,,,-0.168,0.123,-0.613,,,0.282,0.565,-0.278,,,62.3,63.26,61.65,,
30,Brian Harman,393,1159.8999999999999,1460,2409,15,21,1.0,70.996,70.402,70.536,71.016,,63.41,62.8,67.14,68.17,,64.85,63.78,67.59,64.17,,0.465,0.6,0.273,0.09,,-0.296,0.146,0.017,0.256,,0.169,0.746,0.29,0.346,,61.4,63.19,56.95,60.1,
31,Brian Stuard,375,1111.0,1374,2227,7,10,1.0,71.242,71.038,70.999,70.924,,71.07,71.44,71.09,73.31,,63.3,67.12,64.89,66.72,,-0.022,0.164,0.176,0.23,,-0.07,-0.101,0.217,0.085,,-0.093,0.062,0.393,0.315,,62.16,59.23,64.31,61.16,
32,Brice Garnett,186,584.0999999999999,604,1034,3,4,1.0,71.018,71.067,,,,64.45,71.45,,,,66.78,69.54,,,,-0.076,0.091,,,,-0.234,-0.125,,,,-0.31,-0.034,,,,58.63,58.15,,,
33,Bronson Burgoon,59,296.1,180,317,1,2,0.0,71.295,,,,,66.49,,,,,67.98,,,,,-0.291,,,,,-0.053,,,,,-0.344,,,,,56.78,,,,
34,Brooks Koepka,308,1236.1,1000,1696,19,29,6.0,69.956,69.847,69.444,69.395,,58.6,55.8,56.85,61.83,,66.98,63.47,68.28,69.97,,0.445,0.581,0.168,0.226,,0.648,0.623,1.052,1.14,,1.092,1.204,1.22,1.366,,55.53,56.27,63.28,62.25,
35,Bryce Molder,80,280.2,355,543,5,5,0.0,70.901,,,,,62.53,,,,,61.32,,,,,0.553,,,,,-0.013,,,,,0.54,,,,,65.38,,,,
36,Bryson DeChambeau,342,1231.3,1174,1972,11,25,7.0,70.866,69.646,70.177,69.728,,58.34,62.23,65.02,54.18,,65.48,69.65,66.2,67.15,,-0.193,0.346,0.372,0.456,,0.383,1.212,0.641,1.367,,0.19,1.558,1.013,1.823,,57.32,59.84,62.33,59.2,
37,Bubba Watson,298,1241.1000000000001,890,1603,12,17,4.0,70.333,71.175,70.384,70.71,,55.11,59.5,58.27,58.13,,69.16,62.87,68.21,66.76,,-0.367,-0.187,0.001,-0.344,,1.359,0.272,0.554,0.624,,0.992,0.085,0.555,0.281,,52.74,55.34,56.64,57.35,
38,Bud Cauley,229,884.6999999999999,817,1342,9,9,0.0,70.432,71.356,70.574,,,60.1,60.81,63.26,,,67.36,64.26,67.21,,,-0.273,0.367,-0.052,,,0.803,0.094,0.61,,,0.53,0.461,0.558,,,58.41,60.12,64.05,,
39,Byeong Hun An,243,915.3000000000001,823,1397,8,10,0.0,70.887,70.19,70.48,,,57.17,60.19,57.98,,,64.04,67.99,67.75,,,-0.375,-0.285,-0.583,,,0.964,1.091,1.402,,,0.589,0.805,0.819,,,56.22,61.16,59.28,,
40,C.T. Pan,172,572.2,644,1036,4,5,1.0,71.109,70.966,,,,64.2,64.77,,,,67.25,64.16,,,,-0.013,-0.062,,,,-0.074,0.12,,,,-0.087,0.059,,,,60.55,63.71,,,
41,Cameron Champ,78,317.9,219,420,3,3,1.0,71.393,,,,,55.3,,,,,69.3,,,,,-0.099,,,,,-0.276,,,,,-0.374,,,,,52.14,,,,
42,Cameron Percy,127,588.1,369,626,2,3,0.0,71.03,70.909,,,,60.18,63.66,,,,69.91,69.56,,,,-0.205,-0.205,,,,0.123,0.49,,,,-0.082,0.285,,,,60.23,57.3,,,
43,Cameron Smith,250,885.2,929,1545,11,14,1.0,70.909,70.517,70.814,,,56.26,57.03,59.36,,,63.14,63.18,63.66,,,0.084,0.115,0.157,,,0.418,0.104,0.167,,,0.502,0.219,0.324,,,58.64,61.12,60.74,,
44,Cameron Tringale,243,862.9,802,1363,4,6,0.0,71.256,71.343,70.796,,,59.57,58.15,60.53,,,65.66,64.39,69.66,,,0.057,0.125,0.204,,,-0.081,-0.265,0.342,,,-0.024,-0.14,0.546,,,57.14,58.83,61.13,,
45,Camilo Villegas,76,288.7,308,494,2,2,0.0,70.881,,,,,54.37,,,,,61.88,,,,,0.4,,,,,-0.182,,,,,0.218,,,,,62.35,,,,
46,Carlos Ortiz,84,301.0,280,475,2,3,0.0,71.069,,,,,62.3,,,,,67.82,,,,,0.079,,,,,0.046,,,,,0.125,,,,,58.95,,,,
47,Chad Campbell,187,573.5,670,1056,5,6,0.0,70.566,70.509,,,,64.39,67.21,,,,68.15,69.07,,,,-0.223,-0.286,,,,0.768,0.691,,,,0.544,0.405,,,,62.21,64.63,,,
48,Chad Collins,139,560.7,574,930,2,3,0.0,71.532,71.77,,,,57.41,59.31,,,,62.4,60.93,,,,-0.004,0.079,,,,-0.448,-0.533,,,,-0.452,-0.454,,,,60.53,63.07,,,
49,Charl Schwartzel,201,895.3,718,1213,8,11,1.0,70.004,70.211,71.349,,,56.86,54.31,55.19,,,68.73,61.76,61.11,,,-0.137,0.257,0.081,,,1.18,0.504,-0.276,,,1.043,0.761,-0.195,,,59.64,60.05,57.88,,
50,Charles Howell III,375,1204.0,1264,2046,17,19,1.0,70.418,70.371,70.219,70.483,,52.6,54.72,62.59,62.83,,68.01,67.01,69.33,70.51,,0.152,0.172,0.219,0.291,,0.549,0.32,0.582,0.518,,0.701,0.492,0.801,0.809,,60.88,62.63,60.87,62.94,
51,Charley Hoffman,277,892.5,920,1632,7,10,1.0,70.658,70.351,71.361,,,54.8,58.56,58.26,,,64.58,66.62,66.51,,,-0.092,-0.012,-0.158,,,0.617,0.903,0.216,,,0.525,0.892,0.057,,,57.75,56.55,54.27,,
52,Chase Wright,75,299.1,230,398,2,2,0.0,71.233,,,,,62.62,,,,,67.95,,,,,0.379,,,,,-0.369,,,,,0.01,,,,,57.79,,,,
53,Chesson Hadley,179,597.6,607,1047,9,10,0.0,70.311,71.453,,,,60.07,59.75,,,,67.68,64.64,,,,0.208,0.23,,,,0.65,-0.357,,,,0.859,-0.128,,,,56.6,59.66,,,
54,Chez Reavie,470,1427.9,1573,2566,13,16,1.0,70.661,70.244,70.432,70.247,71.075,68.22,71.4,72.24,75.72,74.11,68.09,67.31,68.67,67.93,67.13,-0.262,0.417,0.192,0.062,-0.445,0.762,0.423,0.483,0.762,0.632,0.5,0.84,0.674,0.824,0.187,62.75,63.33,62.27,59.7,58.35
55,Chris Kirk,287,862.7,1002,1653,9,10,0.0,70.92,71.255,70.411,,,62.02,63.93,64.64,,,64.05,66.73,68.24,,,-0.006,-0.074,0.073,,,0.66,-0.155,0.659,,,0.653,-0.228,0.732,,,62.73,54.73,63.53,,
56,Chris Stroud,219,862.9000000000001,734,1253,5,8,1.0,71.101,70.815,71.644,,,60.7,65.7,58.29,,,66.6,66.2,62.99,,,0.15,-0.126,0.022,,,-0.029,0.139,-0.752,,,0.121,0.013,-0.729,,,56.96,59.33,59.81,,
57,Cody Gribble,79,297.2,283,517,2,2,1.0,71.581,,,,,54.77,,,,,62.7,,,,,0.461,,,,,-0.985,,,,,-0.524,,,,,54.74,,,,
58,Colt Knost,90,269.7,333,538,2,3,0.0,70.785,,,,,73.36,,,,,65.25,,,,,0.395,,,,,-0.077,,,,,0.318,,,,,61.9,,,,
59,Corey Conners,187,600.6,521,916,4,5,1.0,70.743,70.775,,,,62.99,66.92,,,,70.19,73.06,,,,-0.385,-0.576,,,,0.579,1.196,,,,0.193,0.62,,,,57.52,56.12,,,
60,Curtis Luck,65,289.4,237,399,1,1,0.0,72.001,,,,,55.91,,,,,62.43,,,,,0.446,,,,,-1.55,,,,,-1.104,,,,,59.4,,,,
61,D.A. Points,68,278.1,226,406,1,1,1.0,71.315,,,,,65.83,,,,,66.83,,,,,-0.478,,,,,0.071,,,,,-0.406,,,,,55.67,,,,
62,Daniel Berger,334,1194.0,1136,1901,10,14,2.0,70.339,70.121,70.32,70.443,,56.68,60.03,64.58,65.48,,67.67,66.67,66.89,65.15,,0.175,0.149,0.319,-0.043,,0.718,0.761,0.497,0.322,,0.893,0.91,0.816,0.28,,56.95,61.63,58.94,61.84,
63,Daniel Summerhays,250,862.2,917,1628,3,4,0.0,70.771,71.197,73.177,,,58.65,63.67,54.69,,,63.02,63.42,56.79,,,0.592,0.11,0.736,,,-0.356,-0.062,-2.84,,,0.236,0.049,-2.105,,,57.21,56.22,54.86,,
64,Danny Lee,357,1169.7,1250,2153,9,12,0.0,71.118,70.86,71.196,70.997,,64.05,62.72,62.65,57.08,,63.95,66.1,65.05,66.74,,-0.221,0.247,0.156,-0.24,,0.489,0.078,-0.099,0.102,,0.268,0.325,0.058,-0.137,,57.19,55.43,60.81,58.97,
65,Danny Willett,63,293.8,225,383,1,2,0.0,70.828,,,,,59.57,,,,,66.23,,,,,-0.13,,,,,0.513,,,,,0.383,,,,,58.75,,,,
66,David Hearn,309,1126.6000000000001,1014,1694,4,7,0.0,70.87,71.107,71.325,71.697,,65.94,66.75,66.63,69.92,,68.25,64.71,68.89,67.49,,0.214,-0.052,-0.127,-0.157,,0.311,-0.044,0.095,-0.458,,0.525,-0.096,-0.031,-0.615,,61.14,61.85,55.65,58.55,
67,David Lingmerth,84,284.8,305,512,1,2,0.0,71.05,,,,,67.36,,,,,63.99,,,,,0.055,,,,,0.206,,,,,0.261,,,,,59.57,,,,
68,David Toms,62,269.7,235,385,1,1,0.0,70.872,,,,,67.98,,,,,65.5,,,,,0.132,,,,,0.248,,,,,0.38,,,,,61.04,,,,
69,Denny McCarthy,160,586.2,535,857,3,3,0.0,70.861,70.546,,,,63.45,65.84,,,,68.17,65.98,,,,0.449,0.926,,,,-0.355,-0.239,,,,0.094,0.687,,,,59.83,64.31,,,
70,Derek Fathauer,259,863.8000000000001,964,1716,3,4,0.0,71.073,71.568,71.827,,,52.02,55.49,53.27,,,62.0,62.81,60.35,,,0.356,0.094,0.363,,,-0.791,-0.74,-1.17,,,-0.435,-0.647,-0.807,,,59.1,53.78,54.99,,
71,Doc Redman,84,294.0,290,467,1,4,0.0,71.123,,,,,64.87,,,,,65.86,,,,,-0.002,,,,,-0.021,,,,,-0.023,,,,,62.1,,,,
72,Dominic Bozzelli,142,590.8,491,844,4,5,0.0,71.49,71.023,,,,56.57,60.19,,,,61.97,66.92,,,,-0.033,0.847,,,,-0.417,-0.997,,,,-0.449,-0.15,,,,57.75,58.65,,,
73,Dustin Johnson,389,1567.5,1269,2099,31,51,12.0,69.172,69.549,68.698,69.895,69.619,57.17,56.97,59.46,55.57,57.87,67.82,69.52,70.57,66.98,66.67,0.281,0.019,0.385,0.096,0.429,1.646,1.862,1.987,1.225,0.824,1.928,1.882,2.372,1.321,1.253,59.58,62.76,62.5,57.93,59.95
74,Emiliano Grillo,362,1178.5,1126,1982,10,13,1.0,70.637,70.798,70.152,70.814,,66.93,65.44,70.16,68.13,,68.52,66.99,68.84,68.73,,-0.056,-0.173,0.546,-0.633,,0.534,0.532,0.587,1.051,,0.479,0.359,1.133,0.418,,55.1,55.71,61.05,55.13,
75,Fabián Gómez,82,289.0,292,516,3,4,1.0,71.346,,,,,61.44,,,,,63.71,,,,,0.213,,,,,-0.249,,,,,-0.037,,,,,56.59,,,,
76,Francesco Molinari,200,867.8,733,1182,9,11,1.0,70.436,69.802,70.974,,,63.76,70.14,66.45,,,64.93,67.28,63.58,,,-0.296,-0.089,-0.211,,,0.859,1.453,0.25,,,0.562,1.364,0.038,,,60.4,62.74,62.99,,
77,Freddie Jacobson,86,280.3,328,544,3,3,0.0,70.809,,,,,59.03,,,,,64.86,,,,,0.487,,,,,-0.414,,,,,0.072,,,,,60.29,,,,
78,Gary Woodland,372,1235.4,1125,1952,15,20,2.0,70.234,70.482,70.161,70.229,,56.69,59.31,63.69,63.41,,68.74,69.48,70.51,69.05,,-0.162,-0.381,0.007,-0.143,,1.065,1.04,1.059,1.025,,0.903,0.659,1.066,0.882,,60.16,58.28,54.45,57.48,
79,Geoff Ogilvy,80,286.5,272,447,1,1,0.0,71.056,,,,,62.59,,,,,65.51,,,,,0.043,,,,,-0.195,,,,,-0.152,,,,,60.85,,,,
80,Graeme McDowell,205,860.4999999999999,732,1211,8,9,2.0,70.899,71.001,70.591,,,67.7,64.92,62.69,,,64.44,64.5,64.79,,,-0.199,0.478,0.731,,,0.021,0.219,-0.346,,,-0.178,0.697,0.385,,,58.85,59.95,62.22,,
81,Graham DeLaet,152,599.0,440,806,7,9,0.0,71.074,70.376,,,,60.11,63.68,,,,68.35,68.57,,,,-0.227,0.291,,,,0.347,0.477,,,,0.12,0.768,,,,52.39,56.51,,,
