,NAME,ROUNDS,DRIVE_DISTANCE,PAR OR BETTER,MISSED GIR,US_OPEN_TOP_10,TOP 10,1ST,SCORING1,SCORING2,SCORING3,SCORING4,SCORING5,FWY_%1,FWY_%2,FWY_%3,FWY_%4,FWY_%5,GIR_%1,GIR_%2,GIR_%3,GIR_%4,GIR_%5,SG_P1,SG_P2,SG_P3,SG_P4,SG_P5,SG_TTG1,SG_TTG2,SG_TTG3,SG_TTG4,SG_TTG5,SG_T1,SG_T2,SG_T3,SG_T4,SG_T5,SCRAMBLING_P1,SCRAMBLING_P2,SCRAMBLING_P3,SCRAMBLING_P4,SCRAMBLING_P5
167,Ollie Schniederjans,183,602.0999999999999,644,1115,6,8,0.0,70.704,70.641,,,,51.89,52.22,,,,66.03,62.77,,,,-0.019,0.325,,,,0.402,-0.071,,,,0.383,0.254,,,,58.65,56.95,,,
168,Padraig Harrington,54,289.6,216,360,1,1,0.0,71.032,,,,,60.66,,,,,62.96,,,,,-0.342,,,,,0.275,,,,,-0.067,,,,,60.0,,,,
169,Pat Perez,347,1160.1,1195,1953,13,15,2.0,70.25,70.594,71.059,70.71,,62.0,65.09,65.28,62.03,,66.17,67.78,65.32,66.26,,0.346,0.115,0.535,0.372,,0.515,-0.163,-0.248,0.22,,0.862,-0.048,0.288,0.592,,63.14,55.63,61.76,63.12,
170,Patrick Cantlay,216,906.7,684,1113,15,20,2.0,69.971,69.899,69.306,,,61.47,61.58,57.34,,,69.21,70.69,67.21,,,0.159,-0.182,0.386,,,1.111,1.278,1.471,,,1.269,1.096,1.857,,,60.15,57.58,66.12,,
171,Patrick Reed,399,1187.9,1512,2410,18,27,3.0,70.17,70.453,70.106,70.208,,55.96,57.18,55.11,60.1,,64.65,62.17,63.57,66.22,,0.28,0.577,0.164,0.261,,0.746,0.399,0.783,0.615,,1.026,0.976,0.947,0.876,,63.97,61.23,62.94,62.99,
172,Patrick Rodgers,317,1210.1,1032,1825,8,10,0.0,70.833,71.432,70.731,71.365,,57.74,52.9,61.14,57.24,,69.22,65.84,65.65,64.71,,-0.193,-0.066,0.561,0.428,,0.504,-0.65,-0.328,-0.197,,0.311,-0.716,0.232,0.231,,58.17,53.63,57.22,57.1,
173,Patton Kizzire,345,1177.9,1143,2044,12,13,2.0,70.921,71.598,70.841,71.292,,55.23,52.54,55.59,60.71,,64.48,63.52,69.04,63.96,,0.442,-0.103,0.03,0.642,,-0.039,-0.475,-0.063,-0.74,,0.403,-0.578,-0.033,-0.098,,56.24,54.31,55.24,57.92,
174,Paul Casey,324,1195.4,1029,1677,16,28,2.0,69.95,69.469,69.85,69.821,,64.67,64.13,63.14,67.68,,70.8,70.06,67.84,70.96,,0.112,0.133,0.133,-0.092,,1.26,1.41,0.833,1.453,,1.372,1.543,0.966,1.361,,61.44,64.12,60.58,58.67,
175,Peter Malnati,172,571.9,678,1118,4,4,1.0,71.686,70.762,,,,60.54,54.62,,,,62.09,63.99,,,,0.491,0.467,,,,-1.143,-0.088,,,,-0.652,0.379,,,,58.79,62.64,,,
176,Peter Uihlein,167,599.7,541,928,6,6,0.0,70.578,71.512,,,,52.93,50.55,,,,67.88,66.03,,,,0.021,0.345,,,,0.247,-0.526,,,,0.268,-0.181,,,,57.87,58.7,,,
177,Phil Mickelson,313,1194.8999999999999,1135,1912,17,19,2.0,69.582,70.168,70.098,71.331,,54.82,55.05,52.91,50.77,,66.05,62.85,64.88,64.17,,0.565,0.337,0.51,-0.16,,0.799,0.711,0.42,-0.278,,1.364,1.048,0.931,-0.438,,64.32,60.0,58.36,54.26,
178,Rafa Cabrera Bello,209,876.4,727,1232,8,11,0.0,70.693,69.887,70.78,,,61.43,67.85,64.52,,,62.69,70.16,62.99,,,0.473,0.273,0.043,,,-0.326,0.839,0.376,,,0.147,1.112,0.419,,,59.8,57.98,59.16,,
179,Retief Goosen,112,588.0,384,657,2,2,0.0,71.425,71.409,,,,57.79,55.22,,,,63.89,61.75,,,,-0.425,-0.411,,,,0.035,-0.085,,,,-0.39,-0.497,,,,60.2,56.98,,,
180,Richy Werenski,268,876.6,879,1490,3,6,0.0,71.171,71.185,71.104,,,65.92,65.06,61.26,,,67.42,66.97,65.93,,,0.0,-0.109,0.074,,,-0.223,-0.014,-0.221,,,-0.223,-0.124,-0.147,,,60.6,56.49,60.31,,
181,Rickie Fowler,308,1204.8000000000002,1077,1724,21,30,2.0,70.118,69.083,69.435,69.955,,58.69,63.91,65.33,60.62,,69.26,67.03,69.52,67.76,,0.153,0.852,0.296,0.541,,1.224,1.134,0.98,0.525,,1.378,1.987,1.275,1.066,,62.21,63.86,63.05,60.77,
182,Ricky Barnes,162,578.2,564,958,3,5,0.0,70.784,71.663,,,,54.27,47.15,,,,65.77,63.75,,,,0.385,0.338,,,,-0.091,-0.703,,,,0.295,-0.365,,,,59.86,57.4,,,
183,Robert Garrigus,149,611.2,462,834,2,4,0.0,70.848,71.457,,,,53.91,56.37,,,,69.32,65.28,,,,-0.2,-0.569,,,,0.836,0.356,,,,0.637,-0.213,,,,53.48,56.84,,,
184,Robert Streb,178,583.0,612,1028,2,5,0.0,70.7,71.629,,,,57.58,60.93,,,,65.19,66.13,,,,0.003,-0.237,,,,0.075,-0.187,,,,0.078,-0.424,,,,58.91,60.36,,,
185,Roberto Castro,173,568.0,579,948,5,6,0.0,70.588,71.127,,,,69.37,67.5,,,,69.13,68.44,,,,-0.257,-0.079,,,,0.844,0.088,,,,0.587,0.009,,,,60.11,62.35,,,
186,Roberto Díaz,73,287.4,238,391,1,2,0.0,71.207,,,,,67.85,,,,,66.58,,,,,0.162,,,,,-0.285,,,,,-0.123,,,,,60.87,,,,
187,Rod Pampling,71,287.8,243,460,1,1,1.0,71.861,,,,,60.83,,,,,64.01,,,,,-0.518,,,,,-0.158,,,,,-0.677,,,,,52.83,,,,
188,Roger Sloan,88,295.8,311,528,1,3,0.0,71.034,,,,,61.83,,,,,65.08,,,,,0.101,,,,,-0.081,,,,,0.02,,,,,58.9,,,,
189,Rory McIlroy,333,1576.5,1125,1847,24,42,7.0,69.646,69.529,69.303,69.057,70.043,61.06,55.06,55.79,61.82,57.36,69.62,65.63,66.3,68.55,65.77,-0.207,-0.304,0.06,0.425,0.187,1.888,1.382,1.351,2.126,1.181,1.681,1.078,1.412,2.551,1.368,58.7,62.29,62.97,63.38,57.89
190,Rory Sabbatini,188,581.7,670,1069,5,7,0.0,70.693,70.409,,,,62.05,66.92,,,,67.85,66.91,,,,0.059,0.154,,,,0.299,0.667,,,,0.358,0.82,,,,61.36,63.9,,,
191,Russell Henley,252,886.6,812,1412,8,12,1.0,70.558,70.027,70.489,,,63.15,63.66,70.03,,,68.27,67.81,68.77,,,0.193,0.434,0.167,,,0.366,0.506,0.374,,,0.56,0.939,0.541,,,61.06,57.12,54.33,,
192,Russell Knox,436,1446.5000000000002,1385,2290,12,15,2.0,70.319,70.765,70.568,70.521,70.923,68.51,67.62,67.7,65.9,66.17,69.73,66.59,69.57,69.06,70.41,-0.054,-0.349,-0.088,-0.176,-0.26,0.56,0.165,0.471,0.726,0.453,0.506,-0.183,0.383,0.55,0.194,61.86,57.48,59.43,62.09,61.43
193,Ryan Armour,201,561.4,711,1149,2,4,1.0,70.758,70.888,,,,73.58,73.81,,,,68.22,67.57,,,,-0.058,0.19,,,,0.395,0.001,,,,0.337,0.19,,,,60.13,63.87,,,
194,Ryan Blaum,171,578.2,577,993,3,3,0.0,70.993,71.302,,,,64.31,62.5,,,,66.1,64.97,,,,0.025,0.194,,,,-0.058,-0.338,,,,-0.033,-0.145,,,,55.46,60.54,,,
195,Ryan Moore,320,1142.6000000000001,1114,1858,13,18,1.0,70.317,70.741,70.015,70.974,,66.52,67.9,71.94,75.53,,65.78,65.05,68.8,68.17,,0.351,-0.017,-0.271,0.062,,0.544,0.319,1.211,0.765,,0.895,0.301,0.941,0.826,,60.12,56.74,64.16,59.2,
196,Ryan Palmer,290,1211.6999999999998,908,1584,10,15,1.0,70.229,71.116,71.031,70.679,,57.88,57.76,59.11,60.67,,67.83,66.46,65.61,68.35,,-0.094,-1.159,-0.528,0.041,,0.868,1.03,0.297,0.434,,0.774,-0.129,-0.231,0.475,,57.63,56.88,55.38,59.31,
197,Ryo Ishikawa,56,288.8,214,370,1,1,0.0,71.99,,,,,51.92,,,,,63.29,,,,,-0.204,,,,,-0.928,,,,,-1.132,,,,,57.84,,,,
198,Sam Burns,168,612.5,574,982,3,11,1.0,70.995,70.184,,,,57.17,58.9,,,,64.74,67.79,,,,0.369,0.579,,,,-0.32,0.669,,,,0.05,1.248,,,,59.6,57.29,,,
199,Sam Ryder,158,591.2,488,817,3,5,0.0,70.914,70.912,,,,66.91,63.62,,,,72.08,67.98,,,,-0.349,0.427,,,,0.503,0.035,,,,0.154,0.462,,,,56.47,62.89,,,
200,Sam Saunders,156,596.4000000000001,516,904,3,6,0.0,70.921,70.794,,,,64.69,60.14,,,,65.24,65.02,,,,0.138,0.094,,,,-0.068,0.132,,,,0.071,0.226,,,,58.45,55.79,,,
201,Satoshi Kodaira,51,293.6,175,343,1,1,1.0,72.182,,,,,65.53,,,,,60.3,,,,,-0.645,,,,,-1.187,,,,,-1.832,,,,,51.02,,,,
202,Scott Brown,371,1162.7,1304,2238,12,12,0.0,71.098,70.932,71.329,70.96,,63.65,63.89,62.03,65.41,,65.03,64.35,65.65,66.53,,0.01,0.276,0.049,0.073,,0.0,-0.344,-0.71,-0.077,,0.011,-0.068,-0.661,-0.004,,59.03,59.08,54.79,60.73,
203,Scott Langley,78,271.3,303,506,1,1,0.0,71.605,,,,,69.02,,,,,62.01,,,,,0.13,,,,,-0.897,,,,,-0.767,,,,,59.88,,,,
204,Scott Piercy,331,1182.8,1023,1794,14,15,1.0,70.855,71.235,70.736,70.333,,59.41,59.68,65.68,67.61,,67.33,66.75,69.72,70.09,,-0.292,-0.526,-0.569,0.146,,0.479,0.251,0.859,0.485,,0.187,-0.275,0.29,0.631,,57.29,49.88,55.96,63.93,
205,Scott Stallings,333,1189.8,1107,1896,6,8,0.0,70.966,70.811,70.719,71.443,,56.95,57.04,56.57,58.97,,66.11,67.89,65.62,66.74,,-0.305,-0.32,-0.07,-0.329,,0.443,0.339,0.341,0.251,,0.138,0.02,0.27,-0.078,,58.08,55.51,60.86,58.46,
206,Seamus Power,166,598.5,611,979,4,4,0.0,70.869,72.026,,,,55.19,56.26,,,,65.17,62.19,,,,0.498,0.057,,,,-0.319,-0.776,,,,0.178,-0.719,,,,63.8,61.02,,,
207,Sean O'Hair,240,902.4000000000001,831,1444,7,9,0.0,70.677,70.801,71.479,,,58.84,60.61,60.09,,,67.17,66.4,63.84,,,0.208,0.107,-0.207,,,0.163,0.269,-0.026,,,0.371,0.376,-0.233,,,57.79,57.28,57.56,,
208,Sebastián Muñoz,86,298.8,266,457,2,3,0.0,70.907,,,,,59.8,,,,,68.26,,,,,0.076,,,,,0.268,,,,,0.343,,,,,58.21,,,,
209,Sergio Garcia,172,904.3,528,904,10,12,2.0,69.999,69.596,70.321,,,61.76,62.33,58.82,,,70.15,69.62,63.26,,,-0.388,-0.311,-0.078,,,1.189,1.356,0.824,,,0.801,1.045,0.746,,,57.66,61.65,55.33,,
210,Seth Reeves,73,311.4,217,400,1,1,0.0,72.156,,,,,57.22,,,,,66.83,,,,,-0.475,,,,,-0.964,,,,,-1.439,,,,,54.25,,,,
211,Seung-Yul Noh,176,593.8,615,1056,4,4,0.0,71.061,70.955,,,,49.12,53.09,,,,64.54,65.58,,,,0.176,0.244,,,,-0.149,-0.058,,,,0.026,0.186,,,,57.25,59.18,,,
212,Shane Lowry,57,298.7,186,345,2,2,0.0,70.64,,,,,61.85,,,,,64.51,,,,,0.113,,,,,0.556,,,,,0.669,,,,,53.91,,,,
213,Shawn Stefani,319,1181.6,1061,1767,5,5,0.0,71.287,70.983,71.192,70.958,,58.4,60.53,56.52,61.89,,66.48,67.48,67.49,69.96,,-0.336,-0.057,-0.034,-0.159,,0.191,0.014,0.141,0.252,,-0.144,-0.043,0.107,0.093,,60.57,59.55,58.43,61.56,
214,Si Woo Kim,388,1166.5,1449,2431,12,17,2.0,70.56,72.253,71.367,70.963,,62.84,57.03,60.68,62.95,,64.83,59.63,63.78,64.91,,-0.102,-0.392,-0.168,-0.06,,0.605,-0.573,0.077,0.194,,0.503,-0.965,-0.092,0.134,,62.32,55.41,57.23,63.51,
215,Smylie Kaufman,167,603.8,538,978,4,5,1.0,71.015,71.432,,,,52.91,54.79,,,,66.29,65.26,,,,0.113,-0.137,,,,0.231,-0.04,,,,0.344,-0.177,,,,54.87,55.18,,,
216,Spencer Levin,104,281.3,360,606,2,2,0.0,70.927,,,,,67.79,,,,,66.33,,,,,0.008,,,,,0.23,,,,,0.238,,,,,59.41,,,,
217,Steve Marino,72,292.0,237,416,1,2,0.0,71.467,,,,,58.46,,,,,66.01,,,,,0.067,,,,,-0.555,,,,,-0.487,,,,,56.97,,,,
218,Steve Stricker,53,278.0,233,353,2,3,0.0,69.996,,,,,63.23,,,,,63.0,,,,,0.62,,,,,0.101,,,,,0.721,,,,,66.01,,,,
219,Steve Wheatcroft,51,280.5,210,330,1,1,0.0,71.577,,,,,68.24,,,,,60.99,,,,,0.479,,,,,-0.641,,,,,-0.162,,,,,63.64,,,,
220,Steven Bowditch,71,288.9,286,582,1,1,0.0,74.262,,,,,43.02,,,,,54.46,,,,,0.131,,,,,-3.34,,,,,-3.209,,,,,49.14,,,,
221,Stewart Cink,270,901.4,865,1510,5,9,2.0,70.213,70.44,70.576,,,55.13,57.6,56.42,,,68.76,68.58,69.44,,,0.286,-0.345,0.164,,,0.725,0.81,0.299,,,1.011,0.465,0.463,,,57.93,55.69,58.18,,
222,Sung Kang,368,1182.4,1282,2242,9,11,1.0,70.856,70.496,71.954,71.101,,59.36,59.65,56.72,60.72,,65.26,66.07,63.2,66.14,,0.186,0.154,-0.235,-0.088,,-0.182,0.325,-0.806,0.118,,0.004,0.478,-1.041,0.03,,59.74,56.98,52.4,59.96,
223,Sungjae Im,122,295.9,444,688,6,7,0.0,70.252,,,,,65.45,,,,,67.61,,,,,0.323,,,,,0.7,,,,,1.023,,,,,64.53,,,,
224,Søren Kjeldsen,58,273.6,173,335,1,1,0.0,71.39,,,,,69.21,,,,,62.02,,,,,0.473,,,,,-0.655,,,,,-0.182,,,,,51.64,,,,
225,Talor Gooch,54,297.4,176,292,2,2,0.0,70.629,,,,,58.68,,,,,69.96,,,,,0.111,,,,,0.259,,,,,0.37,,,,,60.27,,,,
226,"Ted Potter, Jr.",87,286.0,333,579,1,1,1.0,71.024,,,,,66.83,,,,,63.03,,,,,0.074,,,,,-0.169,,,,,-0.094,,,,,57.51,,,,
227,Tiger Woods,68,303.6,256,399,2,7,1.0,69.35,,,,,59.35,,,,,67.4,,,,,0.266,,,,,1.33,,,,,1.596,,,,,64.16,,,,
228,Tim Wilkinson,72,279.3,275,432,1,1,0.0,70.704,,,,,62.36,,,,,64.71,,,,,0.335,,,,,0.226,,,,,0.561,,,,,63.66,,,,
229,Tom Hoge,236,866.0,847,1410,6,7,0.0,71.444,71.326,70.945,,,55.81,55.99,62.43,,,62.48,66.06,63.62,,,-0.07,0.019,-0.162,,,-0.254,-0.293,0.235,,,-0.323,-0.274,0.074,,,58.46,60.14,61.41,,
230,Tom Lovelady,87,315.9,250,480,1,2,0.0,71.252,,,,,54.73,,,,,67.08,,,,,-0.049,,,,,-0.14,,,,,-0.19,,,,,52.08,,,,
231,Tommy Fleetwood,144,605.5999999999999,462,745,8,12,0.0,69.342,69.729,,,,64.98,64.02,,,,69.36,66.93,,,,0.324,0.169,,,,1.282,1.11,,,,1.606,1.279,,,,55.77,67.98,,,
232,Tony Finau,492,1551.5,1615,2729,16,35,2.0,70.797,69.987,69.52,69.955,69.972,52.48,57.53,55.09,56.94,56.29,65.09,68.96,70.18,67.46,67.1,-0.088,-0.133,0.232,-0.103,0.09,0.216,1.28,1.203,0.871,1.04,0.128,1.147,1.435,0.768,1.13,57.96,59.38,57.22,62.2,59.47
233,Trey Mullinax,163,627.9000000000001,508,917,4,4,0.0,71.027,70.815,,,,54.59,54.94,,,,67.01,65.38,,,,-0.057,0.072,,,,0.063,-0.144,,,,0.006,-0.072,,,,56.26,54.42,,,
234,Troy Merritt,235,875.8999999999999,804,1386,5,8,1.0,71.674,70.888,70.95,,,60.89,62.93,66.43,,,63.13,65.16,68.85,,,0.244,0.077,0.085,,,-0.608,0.132,0.336,,,-0.364,0.209,0.421,,,57.93,57.6,58.77,,
235,Tyler Duncan,186,582.5999999999999,539,979,3,3,0.0,71.04,71.577,,,,66.74,69.63,,,,69.65,68.47,,,,-0.566,-0.565,,,,0.583,-0.193,,,,0.017,-0.758,,,,52.76,57.54,,,
236,Tyrone Van Aswegen,311,865.5,1077,1815,3,4,0.0,71.189,71.181,71.243,,,52.91,59.79,56.98,,,64.81,66.38,65.23,,,-0.064,-0.32,-0.01,,,0.055,0.103,-0.313,,,-0.009,-0.217,-0.323,,,60.84,58.94,58.08,,
237,Tyrrell Hatton,120,595.4000000000001,396,678,5,7,0.0,70.091,70.585,,,,61.84,62.96,,,,66.46,66.28,,,,0.335,-0.192,,,,0.603,0.681,,,,0.938,0.489,,,,62.58,54.55,,,
238,Vaughn Taylor,248,856.0,878,1473,5,8,1.0,71.028,70.692,70.45,,,61.59,67.51,69.03,,,64.43,67.02,66.85,,,-0.424,-0.08,0.636,,,0.457,0.299,0.096,,,0.033,0.219,0.732,,,54.66,59.91,63.54,,
239,Vijay Singh,72,289.8,273,483,1,2,0.0,71.057,,,,,56.73,,,,,62.73,,,,,-0.094,,,,,0.222,,,,,0.128,,,,,56.52,,,,
240,Webb Simpson,425,1447.6,1584,2448,14,29,1.0,70.359,70.018,69.293,69.377,69.901,62.17,66.26,62.34,66.82,67.08,67.14,65.49,67.93,65.81,69.37,-0.482,0.049,0.692,0.608,0.435,1.149,0.893,0.741,0.899,0.818,0.667,0.942,1.432,1.507,1.253,59.42,65.2,66.1,66.88,64.95
241,Wesley Bryan,95,279.8,392,647,4,5,1.0,71.062,,,,,57.87,,,,,60.5,,,,,0.34,,,,,-0.337,,,,,0.002,,,,,60.59,,,,
242,Whee Kim,322,1147.7,1157,1970,6,8,0.0,71.472,70.964,71.477,72.474,,63.48,55.37,61.11,62.07,,65.74,62.58,63.55,66.18,,-0.219,0.443,0.427,0.042,,0.01,-0.651,-0.864,-1.332,,-0.209,-0.208,-0.437,-1.29,,58.0,62.27,58.56,55.71,
243,Will MacKenzie,84,285.6,277,484,1,1,0.0,71.402,,,,,60.81,,,,,66.39,,,,,-0.479,,,,,0.176,,,,,-0.304,,,,,57.23,,,,
244,Will Wilcox,67,292.9,249,428,2,2,0.0,71.055,,,,,59.34,,,,,63.42,,,,,-0.027,,,,,-0.062,,,,,-0.089,,,,,58.18,,,,
245,Will Zalatoris,90,307.4,292,477,1,8,0.0,70.065,,,,,56.4,,,,,69.54,,,,,-0.066,,,,,1.184,,,,,1.118,,,,,61.22,,,,
246,William McGirt,271,862.0999999999999,913,1521,10,13,1.0,70.393,71.151,70.791,,,65.28,69.96,59.89,,,67.35,67.2,67.59,,,0.36,-0.025,0.2,,,0.598,-0.072,-0.021,,,0.958,-0.098,0.178,,,60.76,56.53,62.86,,
247,Wyndham Clark,87,311.8,319,521,2,3,0.0,70.595,,,,,56.37,,,,,65.95,,,,,0.64,,,,,-0.227,,,,,0.413,,,,,61.23,,,,
248,Xander Schauffele,352,1223.4,1154,1956,12,25,4.0,70.163,70.486,69.834,69.859,,58.82,59.77,60.29,58.83,,68.0,65.59,68.39,68.64,,0.402,0.196,0.244,0.48,,0.479,0.448,1.149,1.004,,0.881,0.644,1.393,1.484,,57.55,57.81,62.23,59.21,
249,Xinjun Zhang,81,298.7,259,445,1,1,0.0,71.486,,,,,65.33,,,,,67.04,,,,,-0.437,,,,,-0.297,,,,,-0.734,,,,,58.2,,,,
250,Zac Blair,204,548.0,816,1273,3,3,0.0,71.49,71.007,,,,69.86,69.7,,,,62.34,64.7,,,,0.195,0.035,,,,-0.565,-0.078,,,,-0.37,-0.044,,,,62.73,65.5,,,
251,Zach Johnson,413,1433.3,1518,2487,10,15,0.0,70.364,70.393,69.911,70.644,70.401,65.23,67.53,63.88,66.59,62.5,64.53,64.21,67.43,62.59,66.87,0.395,0.417,0.206,-0.087,0.667,0.214,0.215,0.829,0.546,-0.024,0.609,0.631,1.035,0.459,0.642,62.11,59.88,62.35,61.95,58.88
